# x y z (NED)
0.000, 0.000, -1.200,
0.008, 0.100, -1.200,
0.014, 0.199, -1.200,
0.019, 0.299, -1.200,
0.022, 0.399, -1.200,
0.024, 0.499, -1.200,
0.023, 0.599, -1.200,
0.021, 0.699, -1.200,
0.017, 0.799, -1.200,
0.010, 0.899, -1.200,
0.000, 0.998, -1.200,
-0.013, 1.098, -1.200,
-0.030, 1.196, -1.200,
-0.052, 1.294, -1.200,
-0.079, 1.390, -1.200,
-0.114, 1.484, -1.200,
-0.156, 1.574, -1.200,
-0.208, 1.660, -1.200,
-0.270, 1.738, -1.200,
-0.342, 1.807, -1.200,
-0.424, 1.865, -1.200,
-0.513, 1.910, -1.200,
-0.606, 1.945, -1.200,
-0.703, 1.971, -1.200,
-0.802, 1.987, -1.200,
-0.901, 1.997, -1.200,
-1.001, 2.000, -1.200,
-1.101, 1.997, -1.200,
-1.200, 1.987, -1.200,
-1.299, 1.970, -1.200,
-1.396, 1.945, -1.200,
-1.489, 1.910, -1.200,
-1.578, 1.864, -1.200,
-1.659, 1.806, -1.200,
-1.731, 1.737, -1.200,
-1.793, 1.658, -1.200,
-1.845, 1.572, -1.200,
-1.887, 1.482, -1.200,
-1.921, 1.388, -1.200,
-1.949, 1.292, -1.200,
-1.970, 1.194, -1.200,
-1.987, 1.096, -1.200,
-2.000, 0.996, -1.200,
-2.010, 0.897, -1.200,
-2.017, 0.797, -1.200,
-2.021, 0.697, -1.200,
-2.023, 0.597, -1.200,
-2.024, 0.497, -1.200,
-2.022, 0.397, -1.200,
-2.019, 0.297, -1.200,
-2.014, 0.197, -1.200,
-2.008, 0.098, -1.200,
-2.000, -0.000, -1.200,
