# task waypoints (ENU)
# columns: x, y, z, dt_from_prev_s
11.500, 15.000, 1.424, 0.000
14.000, 15.000, 1.424, 3.000
26.000, 14.050, 1.424, 5.000
29.500, 10.000, 1.424, 5.000
23.500, 5.950, 1.424, 4.000
7.625, 6.327, 1.424, 5.000
6.000, 11.500, 1.424, 4.000
9.000, 15.000, 1.424, 4.000
10.500, 15.000, 1.424, 4.000
