# x y z (NED) 4=2.0m
2.000, 0.000, -1.0,
1.998, 0.100, -1.0,
1.990, 0.199, -1.0,
1.978, 0.298, -1.0,
1.960, 0.396, -1.0,
1.938, 0.494, -1.0,
1.911, 0.590, -1.0,
1.879, 0.684, -1.0,
1.843, 0.777, -1.0,
1.802, 0.868, -1.0,
1.756, 0.957, -1.0,
1.707, 1.043, -1.0,
1.652, 1.127, -1.0,
1.594, 1.208, -1.0,
1.532, 1.286, -1.0,
1.466, 1.360, -1.0,
1.396, 1.432, -1.0,
1.323, 1.500, -1.0,
1.247, 1.564, -1.0,
1.167, 1.624, -1.0,
1.085, 1.680, -1.0,
1.000, 1.732, -1.0,
0.912, 1.780, -1.0,
0.823, 1.823, -1.0,
0.731, 1.862, -1.0,
0.637, 1.896, -1.0,
0.542, 1.925, -1.0,
0.445, 1.950, -1.0,
0.347, 1.970, -1.0,
0.249, 1.984, -1.0,
0.149, 1.994, -1.0,
0.050, 1.999, -1.0,
-0.050, 1.999, -1.0,
-0.149, 1.994, -1.0,
-0.249, 1.984, -1.0,
-0.347, 1.970, -1.0,
-0.445, 1.950, -1.0,
-0.542, 1.925, -1.0,
-0.637, 1.896, -1.0,
-0.731, 1.862, -1.0,
-0.823, 1.823, -1.0,
-0.912, 1.780, -1.0,
-1.000, 1.732, -1.0,
-1.085, 1.680, -1.0,
-1.167, 1.624, -1.0,
-1.247, 1.564, -1.0,
-1.323, 1.500, -1.0,
-1.396, 1.432, -1.0,
-1.466, 1.360, -1.0,
-1.532, 1.286, -1.0,
-1.594, 1.208, -1.0,
-1.652, 1.127, -1.0,
-1.707, 1.043, -1.0,
-1.756, 0.957, -1.0,
-1.802, 0.868, -1.0,
-1.843, 0.777, -1.0,
-1.879, 0.684, -1.0,
-1.911, 0.590, -1.0,
-1.938, 0.494, -1.0,
-1.960, 0.396, -1.0,
-1.978, 0.298, -1.0,
-1.990, 0.199, -1.0,
-1.998, 0.100, -1.0,
-2.000, 0.000, -1.0,
-1.998, -0.100, -1.0,
-1.990, -0.199, -1.0,
-1.978, -0.298, -1.0,
-1.960, -0.396, -1.0,
-1.938, -0.494, -1.0,
-1.911, -0.590, -1.0,
-1.879, -0.684, -1.0,
-1.843, -0.777, -1.0,
-1.802, -0.868, -1.0,
-1.756, -0.957, -1.0,
-1.707, -1.043, -1.0,
-1.652, -1.127, -1.0,
-1.594, -1.208, -1.0,
-1.532, -1.286, -1.0,
-1.466, -1.360, -1.0,
-1.396, -1.432, -1.0,
-1.323, -1.500, -1.0,
-1.247, -1.564, -1.0,
-1.167, -1.624, -1.0,
-1.085, -1.680, -1.0,
-1.000, -1.732, -1.0,
-0.912, -1.780, -1.0,
-0.823, -1.823, -1.0,
-0.731, -1.862, -1.0,
-0.637, -1.896, -1.0,
-0.542, -1.925, -1.0,
-0.445, -1.950, -1.0,
-0.347, -1.970, -1.0,
-0.249, -1.984, -1.0,
-0.149, -1.994, -1.0,
-0.050, -1.999, -1.0,
0.050, -1.999, -1.0,
0.149, -1.994, -1.0,
0.249, -1.984, -1.0,
0.347, -1.970, -1.0,
0.445, -1.950, -1.0,
0.542, -1.925, -1.0,
0.637, -1.896, -1.0,
0.731, -1.862, -1.0,
0.823, -1.823, -1.0,
0.912, -1.780, -1.0,
1.000, -1.732, -1.0,
1.085, -1.680, -1.0,
1.167, -1.624, -1.0,
1.247, -1.564, -1.0,
1.323, -1.500, -1.0,
1.396, -1.432, -1.0,
1.466, -1.360, -1.0,
1.532, -1.286, -1.0,
1.594, -1.208, -1.0,
1.652, -1.127, -1.0,
1.707, -1.043, -1.0,
1.756, -0.957, -1.0,
1.802, -0.868, -1.0,
1.843, -0.777, -1.0,
1.879, -0.684, -1.0,
1.911, -0.590, -1.0,
1.938, -0.494, -1.0,
1.960, -0.396, -1.0,
1.978, -0.298, -1.0,
1.990, -0.199, -1.0,
1.998, -0.100, -1.0,
2.000, -0.000, -1.0,
