# x y z (NED)
3.000, -1.000, -1.200,
3.000, -0.891, -1.200,
3.000, -0.783, -1.200,
3.000, -0.674, -1.200,
3.000, -0.566, -1.200,
3.000, -0.457, -1.200,
3.000, -0.348, -1.200,
3.000, -0.240, -1.200,
3.000, -0.131, -1.200,
3.000, -0.022, -1.200,
3.000, 0.086, -1.200,
2.997, 0.193, -1.200,
2.987, 0.299, -1.200,
2.971, 0.405, -1.200,
2.949, 0.509, -1.200,
2.920, 0.611, -1.200,
2.886, 0.712, -1.200,
2.845, 0.810, -1.200,
2.799, 0.905, -1.200,
2.747, 0.997, -1.200,
2.690, 1.085, -1.200,
2.628, 1.170, -1.200,
2.561, 1.251, -1.200,
2.489, 1.326, -1.200,
2.413, 1.397, -1.200,
2.333, 1.463, -1.200,
2.250, 1.523, -1.200,
2.163, 1.578, -1.200,
2.074, 1.627, -1.200,
1.982, 1.670, -1.200,
1.888, 1.708, -1.200,
1.793, 1.738, -1.200,
1.696, 1.763, -1.200,
1.598, 1.781, -1.200,
1.500, 1.793, -1.200,
1.402, 1.799, -1.200,
1.304, 1.797, -1.200,
1.207, 1.790, -1.200,
1.112, 1.777, -1.200,
1.018, 1.756, -1.200,
0.926, 1.731, -1.200,
0.837, 1.698, -1.200,
0.750, 1.661, -1.200,
0.667, 1.618, -1.200,
0.587, 1.569, -1.200,
0.511, 1.516, -1.200,
0.439, 1.458, -1.200,
0.372, 1.394, -1.200,
0.310, 1.327, -1.200,
0.253, 1.255, -1.200,
0.201, 1.181, -1.200,
0.155, 1.103, -1.200,
0.114, 1.022, -1.200,
0.080, 0.939, -1.200,
0.051, 0.854, -1.200,
0.029, 0.767, -1.200,
0.013, 0.679, -1.200,
0.003, 0.589, -1.200,
0.000, 0.500, -1.200,
-0.003, 0.411, -1.200,
-0.013, 0.321, -1.200,
-0.029, 0.233, -1.200,
-0.051, 0.146, -1.200,
-0.080, 0.061, -1.200,
-0.114, -0.022, -1.200,
-0.155, -0.103, -1.200,
-0.201, -0.181, -1.200,
-0.253, -0.255, -1.200,
-0.310, -0.327, -1.200,
-0.372, -0.394, -1.200,
-0.439, -0.458, -1.200,
-0.511, -0.516, -1.200,
-0.587, -0.569, -1.200,
-0.667, -0.618, -1.200,
-0.750, -0.661, -1.200,
-0.837, -0.698, -1.200,
-0.926, -0.731, -1.200,
-1.018, -0.756, -1.200,
-1.112, -0.777, -1.200,
-1.207, -0.790, -1.200,
-1.304, -0.797, -1.200,
-1.402, -0.799, -1.200,
-1.500, -0.793, -1.200,
-1.598, -0.781, -1.200,
-1.696, -0.763, -1.200,
-1.793, -0.738, -1.200,
-1.888, -0.708, -1.200,
-1.982, -0.670, -1.200,
-2.074, -0.627, -1.200,
-2.163, -0.578, -1.200,
-2.250, -0.523, -1.200,
-2.333, -0.463, -1.200,
-2.413, -0.397, -1.200,
-2.489, -0.326, -1.200,
-2.561, -0.251, -1.200,
-2.628, -0.170, -1.200,
-2.690, -0.085, -1.200,
-2.747, 0.003, -1.200,
-2.799, 0.095, -1.200,
-2.845, 0.190, -1.200,
-2.886, 0.288, -1.200,
-2.920, 0.389, -1.200,
-2.949, 0.491, -1.200,
-2.971, 0.595, -1.200,
-2.987, 0.701, -1.200,
-2.997, 0.807, -1.200,
-3.000, 0.914, -1.200,
-3.000, 1.022, -1.200,
-3.000, 1.131, -1.200,
-3.000, 1.240, -1.200,
-3.000, 1.348, -1.200,
-3.000, 1.457, -1.200,
-3.000, 1.566, -1.200,
-3.000, 1.674, -1.200,
-3.000, 1.783, -1.200,
-3.000, 1.891, -1.200,
-3.000, 2.000, -1.200,
