# x y z (NED)r=1.5m
1.500, 0.000, -1.200,
1.487, 0.199, -1.200,
1.447, 0.395, -1.200,
1.382, 0.584, -1.200,
1.292, 0.763, -1.200,
1.179, 0.928, -1.200,
1.045, 1.076, -1.200,
0.893, 1.205, -1.200,
0.725, 1.313, -1.200,
0.544, 1.398, -1.200,
0.353, 1.458, -1.200,
0.156, 1.492, -1.200,
-0.044, 1.499, -1.200,
-0.243, 1.480, -1.200,
-0.437, 1.435, -1.200,
-0.624, 1.364, -1.200,
-0.800, 1.269, -1.200,
-0.962, 1.151, -1.200,
-1.106, 1.013, -1.200,
-1.231, 0.857, -1.200,
-1.334, 0.686, -1.200,
-1.413, 0.502, -1.200,
-1.468, 0.310, -1.200,
-1.496, 0.112, -1.200,
-1.497, -0.088, -1.200,
-1.473, -0.286, -1.200,
-1.421, -0.479, -1.200,
-1.345, -0.664, -1.200,
-1.245, -0.837, -1.200,
-1.123, -0.995, -1.200,
-0.980, -1.135, -1.200,
-0.821, -1.255, -1.200,
-0.647, -1.353, -1.200,
-0.461, -1.427, -1.200,
-0.267, -1.476, -1.200,
-0.069, -1.498, -1.200,
0.131, -1.494, -1.200,
0.329, -1.464, -1.200,
0.520, -1.407, -1.200,
0.703, -1.325, -1.200,
0.873, -1.220, -1.200,
1.027, -1.093, -1.200,
1.163, -0.947, -1.200,
1.279, -0.784, -1.200,
1.372, -0.607, -1.200,
1.440, -0.419, -1.200,
1.483, -0.224, -1.200,
1.500, -0.000, -1.200,
